epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,10845.1,1.49228,0.75296,0.00422,0.77636,0.8777,0.88115,0.51426,1.26877,0.68129,0.00525,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,11033.9,1.48619,0.75267,0.00417,0.78516,0.89551,0.88362,0.51407,1.26927,0.67543,0.00524,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,11223.4,1.4837,0.73894,0.00417,0.83404,0.8521,0.88602,0.51906,1.27413,0.66987,0.00544,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,11412.4,1.47467,0.73633,0.0041,0.78207,0.89911,0.88754,0.51584,1.27247,0.66336,0.00533,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,11600.8,1.4752,0.7343,0.00417,0.77602,0.88925,0.88278,0.51209,1.27429,0.66312,0.00517,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,11789.7,1.47381,0.7284,0.00413,0.76588,0.90053,0.88432,0.51146,1.27236,0.66858,0.00518,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,11978.7,1.47733,0.72499,0.00413,0.77825,0.89046,0.87877,0.50818,1.27667,0.66752,0.00526,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,12167.4,1.46791,0.72021,0.00409,0.81966,0.83165,0.87808,0.50796,1.28274,0.65988,0.0053,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,12356,1.47816,0.73115,0.00402,0.81716,0.83336,0.88097,0.51001,1.27567,0.66817,0.00519,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,12543.9,1.46716,0.72168,0.00407,0.84555,0.82687,0.8869,0.51908,1.26865,0.6701,0.00521,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,12732.7,1.46258,0.70906,0.00405,0.84938,0.83481,0.8841,0.51442,1.26949,0.67861,0.00515,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,12921.7,1.46158,0.71998,0.004,0.83665,0.829,0.88405,0.51577,1.26531,0.67703,0.0052,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,13110.8,1.45478,0.71008,0.00407,0.84334,0.83022,0.88231,0.51914,1.26273,0.67187,0.00526,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,13300.2,1.44741,0.70331,0.004,0.75998,0.90026,0.87866,0.51554,1.25014,0.66931,0.00511,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,13489.1,1.46175,0.70931,0.00398,0.77877,0.88777,0.88138,0.51514,1.26041,0.67139,0.00523,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,13677.7,1.45453,0.70545,0.00402,0.7737,0.90027,0.87974,0.51552,1.24941,0.66894,0.00505,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,13866.9,1.44341,0.699,0.00394,0.79114,0.87227,0.88211,0.51816,1.25141,0.65856,0.00505,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,14056.3,1.44804,0.69254,0.00391,0.82756,0.85715,0.88688,0.52203,1.25542,0.65068,0.00504,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,14245.1,1.44024,0.68627,0.00398,0.84146,0.82561,0.87514,0.51493,1.25445,0.65642,0.00505,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,14433.8,1.43251,0.68285,0.00392,0.84424,0.82849,0.87801,0.51595,1.25247,0.65966,0.00502,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,14622.9,1.43916,0.68857,0.00397,0.81475,0.87065,0.88366,0.51861,1.24722,0.6642,0.00496,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,14811.9,1.4343,0.69047,0.00395,0.78255,0.88644,0.87946,0.52099,1.2407,0.66545,0.00489,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,15000.2,1.43545,0.67313,0.00394,0.84556,0.81895,0.88021,0.51873,1.24935,0.6611,0.00493,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,15189.1,1.43065,0.67205,0.00386,0.8368,0.82534,0.87601,0.51734,1.23562,0.67627,0.00482,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,15378,1.42477,0.67129,0.00391,0.77391,0.89169,0.87824,0.51899,1.2316,0.67488,0.00479,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,15567.2,1.4279,0.67912,0.0038,0.78428,0.88242,0.87795,0.51573,1.24659,0.66729,0.00498,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,15756.8,1.41867,0.66897,0.00383,0.78042,0.88386,0.87882,0.51722,1.24174,0.67221,0.00492,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,15945.9,1.40629,0.65709,0.00389,0.83736,0.81997,0.87655,0.51455,1.24438,0.67166,0.00489,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,16134.5,1.40843,0.65955,0.00379,0.76841,0.88952,0.87299,0.51421,1.23977,0.67493,0.00484,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,16323.1,1.40768,0.66689,0.00379,0.77568,0.88914,0.873,0.51463,1.23841,0.67535,0.00486,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,16511.9,1.41231,0.65355,0.00386,0.77809,0.88243,0.8712,0.51255,1.24079,0.68415,0.00493,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
